# Copyright (C) 1991-2009 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 9.0 Build 132 02/25/2009 SJ Full Version
# File: D:\ADC\asvm12120_fft_fast\Quartus\fast_fft\DSP.csv
# Generated on: Thu Feb 04 15:06:52 2010

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,Slew Rate,Differential Pair,PCB layer
rama1[0],Unknown,PIN_63,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[1],Unknown,PIN_64,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[2],Unknown,PIN_68,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[3],Unknown,PIN_70,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[4],Unknown,PIN_72,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[5],Unknown,PIN_93,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[6],Unknown,PIN_95,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[7],Unknown,PIN_99,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[8],Unknown,PIN_103,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[9],Unknown,PIN_107,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[10],Unknown,PIN_106,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[11],Unknown,PIN_100,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[12],Unknown,PIN_98,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[13],Unknown,PIN_94,4,B4_N0,3.3-V LVCMOS,,adr1,,,,
rama1[14],Unknown,PIN_88,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[15],Unknown,PIN_73,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[16],Unknown,PIN_71,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[17],Unknown,PIN_69,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
rama1[18],Unknown,PIN_65,3,B3_N0,3.3-V LVCMOS,,adr1,,,,
ramoe0,Unknown,PIN_231,8,B8_N0,3.3-V LVCMOS,,ram_control,,,,
ramoe1,Unknown,PIN_109,4,B4_N0,3.3-V LVCMOS,,ram_control,,,,
ramwe0,Unknown,PIN_214,8,B8_N0,3.3-V LVCMOS,,ram_control,,,,
ramwe1,Unknown,PIN_108,4,B4_N0,3.3-V LVCMOS,,ram_control,,,,
ramd0[0],Unknown,PIN_188,7,B7_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[1],Unknown,PIN_186,7,B7_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[2],Unknown,PIN_185,7,B7_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[3],Unknown,PIN_176,6,B6_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[4],Unknown,PIN_173,6,B6_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[5],Unknown,PIN_177,6,B6_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[6],Unknown,PIN_187,7,B7_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[7],Unknown,PIN_189,7,B7_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[8],Unknown,PIN_230,8,B8_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[9],Unknown,PIN_224,8,B8_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[10],Unknown,PIN_219,8,B8_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[11],Unknown,PIN_217,8,B8_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[12],Unknown,PIN_218,8,B8_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[13],Unknown,PIN_221,8,B8_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[14],Unknown,PIN_223,8,B8_N0,3.3-V LVCMOS,,ram_data,,,,
ramd0[15],Unknown,PIN_226,8,B8_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[0],Unknown,PIN_110,4,B4_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[1],Unknown,PIN_112,4,B4_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[2],Unknown,PIN_117,4,B4_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[3],Unknown,PIN_119,4,B4_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[4],Unknown,PIN_118,4,B4_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[5],Unknown,PIN_114,4,B4_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[6],Unknown,PIN_113,4,B4_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[7],Unknown,PIN_111,4,B4_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[8],Unknown,PIN_78,3,B3_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[9],Unknown,PIN_81,3,B3_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[10],Unknown,PIN_83,3,B3_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[11],Unknown,PIN_87,3,B3_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[12],Unknown,PIN_84,3,B3_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[13],Unknown,PIN_82,3,B3_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[14],Unknown,PIN_80,3,B3_N0,3.3-V LVCMOS,,ram_data,,,,
ramd1[15],Unknown,PIN_76,3,B3_N0,3.3-V LVCMOS,,ram_data,,,,
ifclk,Unknown,PIN_152,6,B6_N0,3.3-V LVCMOS,,,,,,
k14,Unknown,PIN_43,2,B2_N0,3.3-V LVCMOS,,,,,,
sclk,Input,PIN_31,1,B1_N0,LVDS,,,,,sclk(n),
k15,Unknown,PIN_44,2,B2_N0,3.3-V LVCMOS,,,,,,
k16,Unknown,PIN_45,2,B2_N0,3.3-V LVCMOS,,,,,,
k17,Unknown,PIN_46,2,B2_N0,3.3-V LVCMOS,,,,,,
lclk,Unknown,PIN_126,5,B5_N0,3.3-V LVCMOS,,,,,,
fd[15],Unknown,PIN_134,5,B5_N0,3.3-V LVCMOS,,,,,,
fd[14],Unknown,PIN_135,5,B5_N0,3.3-V LVCMOS,,,,,,
fd[13],Unknown,PIN_137,5,B5_N0,3.3-V LVCMOS,,,,,,
fd[12],Unknown,PIN_139,5,B5_N0,3.3-V LVCMOS,,,,,,
pe5,Unknown,PIN_144,5,B5_N0,3.3-V LVCMOS,,,,,,
pe6,Unknown,PIN_143,5,B5_N0,3.3-V LVCMOS,,,,,,
pe7,Unknown,PIN_142,5,B5_N0,3.3-V LVCMOS,,,,,,
fd[11],Unknown,PIN_145,5,B5_N0,3.3-V LVCMOS,,,,,,
fd[10],Unknown,PIN_146,5,B5_N0,3.3-V LVCMOS,,,,,,
fd[9],Unknown,PIN_147,5,B5_N0,3.3-V LVCMOS,,,,,,
fd[8],Unknown,PIN_148,5,B5_N0,3.3-V LVCMOS,,,,,,
flagb,Unknown,PIN_159,6,B6_N0,3.3-V LVCMOS,,,,,,
flaga,Unknown,PIN_160,6,B6_N0,3.3-V LVCMOS,,,,,,
fd[7],Unknown,PIN_161,6,B6_N0,3.3-V LVCMOS,,,,,,
fd[6],Unknown,PIN_162,6,B6_N0,3.3-V LVCMOS,,,,,,
fd[5],Unknown,PIN_164,6,B6_N0,3.3-V LVCMOS,,,,,,
fd[4],Unknown,PIN_166,6,B6_N0,3.3-V LVCMOS,,,,,,
fd[3],Unknown,PIN_167,6,B6_N0,3.3-V LVCMOS,,,,,,
fd[2],Unknown,PIN_168,6,B6_N0,3.3-V LVCMOS,,,,,,
fd[1],Unknown,PIN_169,6,B6_N0,3.3-V LVCMOS,,,,,,
fd[0],Unknown,PIN_171,6,B6_N0,3.3-V LVCMOS,,,,,,
slrd,Unknown,PIN_133,5,B5_N0,3.3-V LVCMOS,,,,,,
slwr,Unknown,PIN_132,5,B5_N0,3.3-V LVCMOS,,,,,,
ds,Unknown,PIN_128,5,B5_N0,3.3-V LVCMOS,,,,,,
k13,Unknown,PIN_34,2,B2_N0,3.3-V LVCMOS,,,,,,
k18,Unknown,PIN_184,7,B7_N0,3.3-V LVCMOS,,,,,,
k19,Unknown,PIN_183,7,B7_N0,3.3-V LVCMOS,,,,,,
k20,Unknown,PIN_182,7,B7_N0,3.3-V LVCMOS,,,,,,
k22,Unknown,PIN_181,7,B7_N0,3.3-V LVCMOS,,,,,,
k21,Unknown,PIN_120,4,B4_N0,3.3-V LVCMOS,,,,,,
k23,Unknown,PIN_131,5,B5_N0,3.3-V LVCMOS,,,,,,
chan,Unknown,PIN_41,2,B2_N0,3.3-V LVCMOS,,,,,,
clk595,Unknown,PIN_127,5,B5_N0,3.3-V LVCMOS,,,,,,
,Unknown,PIN_1,,,,,,,,,
,Unknown,PIN_2,,,,,,,,,
,Unknown,PIN_3,,,,,,,,,
,Unknown,PIN_4,1,B1_N0,,,,,,,
,Unknown,PIN_7,1,,,,,,,,
,Unknown,PIN_8,,,,,,,,,
,Unknown,PIN_10,,,,,,,,,
,Unknown,PIN_11,,,,,,,,,
,Unknown,PIN_15,1,,,,,,,,
,Unknown,PIN_16,,,,,,,,,
,Unknown,PIN_17,,,,,,,,,
,Unknown,PIN_19,,,,,,,,,
,Unknown,PIN_20,,,,,,,,,
,Unknown,PIN_23,,,,,,,,,
,Unknown,PIN_24,,,,,,,,,
,Unknown,PIN_25,1,B1_N0,,,,,,,
,Unknown,PIN_26,1,B1_N0,,,,,,,
,Unknown,PIN_27,1,B1_N0,,,,,,,
,Unknown,PIN_28,,,,,,,,,
,Unknown,PIN_29,,,,,,,,,
,Unknown,PIN_30,1,B1_N0,,,,,,,
,Unknown,PIN_32,1,B1_N0,,,,,,,
,Unknown,PIN_33,2,B2_N0,,,,,,,
,Unknown,PIN_35,2,,,,,,,,
,Unknown,PIN_36,,,,,,,,,
,Unknown,PIN_40,,,,,,,,,
,Unknown,PIN_42,,,,,,,,,
,Unknown,PIN_47,2,,,,,,,,
,Unknown,PIN_48,,,,,,,,,
,Unknown,PIN_49,2,B2_N0,,,,,,,
,Unknown,PIN_50,2,B2_N0,,,,,,,
,Unknown,PIN_51,2,B2_N0,,,,,,,
,Unknown,PIN_52,2,B2_N0,,,,,,,
,Unknown,PIN_53,,,,,,,,,
,Unknown,PIN_54,,,,,,,,,
,Unknown,PIN_55,,,,,,,,,
,Unknown,PIN_56,2,B2_N0,,,,,,,
,Unknown,PIN_57,2,B2_N0,,,,,,,
,Unknown,PIN_58,,,,,,,,,
,Unknown,PIN_59,,,,,,,,,
,Unknown,PIN_60,,,,,,,,,
,Unknown,PIN_61,,,,,,,,,
,Unknown,PIN_62,,,,,,,,,
,Unknown,PIN_66,3,,,,,,,,
,Unknown,PIN_67,,,,,,,,,
,Unknown,PIN_74,,,,,,,,,
,Unknown,PIN_75,,,,,,,,,
,Unknown,PIN_77,3,,,,,,,,
,Unknown,PIN_79,,,,,,,,,
,Unknown,PIN_85,,,,,,,,,
,Unknown,PIN_86,,,,,,,,,
,Unknown,PIN_89,3,B3_N0,,,,,,,
,Unknown,PIN_90,3,B3_N0,,,,,,,
,Unknown,PIN_91,4,B4_N0,,,,,,,
,Unknown,PIN_92,4,B4_N0,,,,,,,
,Unknown,PIN_96,4,,,,,,,,
,Unknown,PIN_97,,,,,,,,,
,Unknown,PIN_101,,,,,,,,,
,Unknown,PIN_102,,,,,,,,,
,Unknown,PIN_104,4,,,,,,,,
,Unknown,PIN_105,,,,,,,,,
,Unknown,PIN_115,,,,,,,,,
,Unknown,PIN_116,,,,,,,,,
,Unknown,PIN_121,,,,,,,,,
,Unknown,PIN_122,,,,,,,,,
,Unknown,PIN_123,,,,,,,,,
,Unknown,PIN_124,5,,,,,,,,
,Unknown,PIN_125,,,,,,,,,
,Unknown,PIN_129,,,,,,,,,
,Unknown,PIN_130,,,,,,,,,
,Unknown,PIN_136,5,,,,,,,,
,Unknown,PIN_138,,,,,,,,,
,Unknown,PIN_140,,,,,,,,,
,Unknown,PIN_141,,,,,,,,,
,Unknown,PIN_149,5,B5_N0,,,,,,,
,Unknown,PIN_150,5,B5_N0,,,,,,,
,Unknown,PIN_151,6,B6_N0,,,,,,,
,Unknown,PIN_153,6,B6_N0,,,,,,,
,Unknown,PIN_154,6,,,,,,,,
,Unknown,PIN_155,6,B6_N0,,,,,,,
,Unknown,PIN_156,,,,,,,,,
,Unknown,PIN_157,6,B6_N0,,,,,,,
,Unknown,PIN_158,6,B6_N0,,,,,,,
,Unknown,PIN_163,,,,,,,,,
,Unknown,PIN_165,,,,,,,,,
,Unknown,PIN_170,6,,,,,,,,
,Unknown,PIN_172,,,,,,,,,
,Unknown,PIN_174,,,,,,,,,
,Unknown,PIN_175,,,,,,,,,
,Unknown,PIN_178,,,,,,,,,
,Unknown,PIN_179,,,,,,,,,
,Unknown,PIN_180,,,,,,,,,
,Unknown,PIN_190,,,,,,,,,
,Unknown,PIN_191,,,,,,,,,
,Unknown,PIN_192,7,,,,,,,,
,Unknown,PIN_193,,,,,,,,,
,Unknown,PIN_198,,,,,,,,,
,Unknown,PIN_199,,,,,,,,,
,Unknown,PIN_204,,,,,,,,,
,Unknown,PIN_205,,,,,,,,,
,Unknown,PIN_206,7,,,,,,,,
,Unknown,PIN_208,,,,,,,,,
,Unknown,PIN_209,7,B7_N0,,,,,,,
,Unknown,PIN_210,7,B7_N0,,,,,,,
,Unknown,PIN_211,8,B8_N0,,,,,,,
,Unknown,PIN_212,8,B8_N0,,,,,,,
,Unknown,PIN_213,8,,,,,,,,
,Unknown,PIN_215,,,,,,,,,
,Unknown,PIN_220,,,,,,,,,
,Unknown,PIN_222,,,,,,,,,
,Unknown,PIN_225,8,,,,,,,,
,Unknown,PIN_227,,,,,,,,,
,Unknown,PIN_228,,,,,,,,,
,Unknown,PIN_229,,,,,,,,,
